track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,spotify_id
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,569377.0,941900.0,119740900.0,1225345800.0,5839168.0,76.0,181.0,1.0,24.0,5054005.0,33.0,283089.0,162.0,975891.0,257661.0,False,2prqm9sPLj10B4Wg0wE5x9
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,9101589.0,2755903.0,1633970617.0,15405881843.0,7289707052.0,455.0,1777811.0,4909.0,330.0,12907852.0,189.0,132624772.0,79909.0,,14967379.0,False,4Dvkj6JhhA12EX05fT7y2e
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,2749668.0,3091732.0,652428798.0,7095564106.0,1063591802.0,158.0,400899.0,273.0,143.0,13718632.0,146.0,70291476.0,49111.0,,7559816.0,True,2IGMVunIBsBLtEQyoI1Mu7
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,1825761.0,209200.0,169144295.0,1379499000.0,422646034.0,298.0,37208.0,236.0,167.0,41414565.0,149.0,10362898.0,10848.0,1551157.0,1373085.0,True,2HRqTpkrJO5ggZyyK6NPWz
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417.0,10.0,655.0,,,,,,,,,,,,,,,,,,True,0ac1yxdTLorGFqT4R0N0f4
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc,2024-02-10,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,437980.0,1470500.0,485200392.0,6518604175.0,1213175656.0,159.0,309497.0,257.0,194.0,40725482.0,177.0,13860535.0,36282.0,,2100708.0,True,7wLShogStyDeZvL0a6daN5
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,,1.0,2.0,,,,9453333.0,273236305.0,4306269694.0,,,,,,,,,,,,False,
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,69990.0,37621885.0,1636811753.0,22918660728.0,,1.0,,439.0,1.0,6.0,1.0,,,,633525.0,False,78TvkItRPxnA5S7Ok2f7Ug
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,14661425.0,7485966.0,2246991336.0,23712377029.0,4327058646.0,513.0,1510151.0,4096.0,166.0,5783693.0,128.0,196783487.0,124922.0,36341585.0,,True,567e29TDzLwZwfDuEpGTwo
Baby Shark,,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,48757673.0,7743800.0,281762094.0,6577639193.0,2166611.0,33.0,284.0,142.0,19.0,52179.0,17.0,86458847.0,2234137.0,,2064420.0,False,5ygDXis42ncn6kYG14lEVG
