track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,spotify_id
no tears left to cry,No Tears Left To Cry,Ariana Grande,2018-04-20,USUM71805289,923,50.2,1331371819.0,100503.0,36840744.0,71.0,1426855223.0,11706422.0,698131.0,30791124.0,219920452.0,1865455236.0,143.0,180151.0,280.0,68.0,735006.0,67.0,181267091.0,95346.0,,6415036.0,False,2qT1uLXPVPzGgFOx4jtEuo
I Fck Up,I Fck Up - Single,Prince Ayaya,2023-10-28,QZTBB2395775,924,50.1,,44.0,223.0,,92839.0,1676.0,1900000.0,35297892.0,454838946.0,,2.0,,,,,,,,,238732.0,True,74Xmtt19hUzlGuRnDpesTZ
Upside Down,Upside Down,JVKE,2020-08-18,QM24S2008283,925,50.1,121391098.0,28044.0,6194695.0,54.0,19099476.0,465493.0,10318700.0,164374946.0,1710758827.0,517.0,24.0,1790.0,122.0,5.0,12865.0,2.0,2403391.0,3205.0,,1184072.0,False,6QprW9GQN1EErMSK8eBlIr
Crawling,Papercuts,Linkin Park,2024-04-12,USWB11201319,927,50.1,570290910.0,174.0,525584.0,,,,,,,,,,,,,,,,,,False,4yQI9wjNF0gYUHwjNpCLQ9
Nosso Quadro,AgroPlay Vero V,AgroPlay,2023-02-02,BCA6L2300010,926,50.1,423018422.0,23872.0,16779061.0,63.0,361813279.0,1727192.0,288613.0,21077364.0,277692228.0,841498728.0,21.0,17320.0,,31.0,6708107.0,12.0,,,,609133.0,False,1bzRhnrWU1l1u4Bby9ZbfQ
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,2024-05-17,QZMWW2484259,929,50.0,33245898.0,2343.0,69471936.0,78.0,15755338.0,203277.0,,,,33968779.0,8.0,48.0,,3.0,821777.0,17.0,18555.0,27.0,110406.0,171732.0,True,0ZS96pPRLyGUViVi5PWCAR
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,2020-03-26,INS172000876,930,50.0,86295058.0,7591.0,3058131.0,55.0,1022945729.0,6994273.0,5444473.0,128000154.0,1953198700.0,197996975.0,7.0,961.0,,3.0,2467.0,7.0,519209.0,,,193040.0,False,0gzu5mm36VJH2Zqu8sQPTf
Pure Cocaine,Street Gossip,Lil Baby,2018-11-30,USUG11802285,928,50.0,652559944.0,170734.0,17463888.0,74.0,317320682.0,2195610.0,13434.0,7576223.0,62837382.0,7241389.0,21.0,36.0,1.0,8.0,35919.0,6.0,133082789.0,60741.0,97169903.0,1456448.0,True,577YBGuskWkVDCxZrLRB4v
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUV72401318,933,49.9,536986458.0,1.0,2.0,,,,,,,,,,,,,,,,,,True,
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,2023-03-17,USWB12300190,932,49.9,142512477.0,23828.0,9380794.0,72.0,56277759.0,436896.0,100195.0,10946988.0,109014578.0,727842762.0,14.0,202432.0,7.0,4.0,177002.0,18.0,71730881.0,10200.0,3516110.0,549127.0,False,0MIp9iBm1V41ERxkZnmSUG
Corazn Roto - R,Corazn Roto (Re,Brray,2023-04-07,USUM72305202,931,49.9,203212015.0,36459.0,13719365.0,67.0,178302256.0,677453.0,827700.0,24190123.0,359964365.0,362205003.0,27.0,12434.0,,12.0,1842000.0,3.0,127732.0,684.0,,836117.0,True,6k5wiT5l9DK8iZmhvEvoqo
Summer,Todo Exitos 2014 (Los Nmero 1 Del A,Calvin Harris,2014-01-01,GBARL1400296,935,49.8,1497564072.0,255037.0,105180321.0,81.0,1989930606.0,8740440.0,1293032.0,116032171.0,1214191679.0,322680506.0,225.0,55500.0,119.0,170.0,1740585.0,36.0,332877611.0,236102.0,,11380320.0,False,6YUTL4dYpB9xZO5qExPf05
Murder On My Mind,Murder On My Mind,YNW Melly,2018-06-01,QMCE31801827,934,49.8,1055558326.0,208777.0,21077896.0,72.0,952644680.0,8820105.0,251510.0,44341738.0,350694950.0,39105354.0,18.0,299.0,42.0,10.0,8074.0,,112050497.0,360013.0,,2087864.0,True,7eBqSVxrzQZtK2mmgRG6lC
You Are The Reason,You Are The Reason,Calum Scott,2017-11-17,USUM71710315,937,49.8,1042531612.0,119883.0,31204776.0,73.0,1425188874.0,10037251.0,1513635.0,180692022.0,1930209423.0,1629614639.0,70.0,18397.0,8.0,17.0,70256.0,8.0,292156274.0,102664.0,,6610744.0,False,69vToJ9BMbbLlFZo7k7A7B
Bad Liar,Bad Liar,Imagine Dragons,2018-11-06,USUM71816161,938,49.8,1056929910.0,134812.0,31112950.0,74.0,908433462.0,8291217.0,1429594.0,181729752.0,2058078137.0,1802807851.0,54.0,118378.0,37.0,31.0,384519.0,12.0,130853305.0,106853.0,,11123506.0,False,2RSHsoi04658QL5xgQVov3
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,2023-10-06,USQX92304180,936,49.8,165347464.0,21942.0,13799115.0,,43792907.0,313018.0,15847.0,603997.0,7395640.0,446100137.0,18.0,81.0,314.0,19.0,7719621.0,47.0,83726741.0,27712.0,1638261.0,354116.0,True,2kE2HFBFkJ0VMw3igxYohz
ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,USSM11914320,939,49.7,1474968552.0,170595.0,31145335.0,68.0,473697535.0,5439167.0,1513097.0,565840941.0,4972391653.0,251187916.0,154.0,271106.0,583.0,78.0,626621.0,2.0,,,,4556715.0,True,696DnlkuDOXcMAnKlTgXXK
Softly,Making Memories,Karan Aujla,2023-08-18,CAW112300244,941,49.6,150073848.0,12340.0,8409772.0,71.0,232389376.0,1637844.0,70200.0,8387797.0,169068391.0,185360520.0,17.0,455.0,4.0,1.0,9696.0,20.0,46920.0,240.0,2691081.0,270472.0,False,0YQJoDL6f46J0n1rOVkpxJ
Tacones Rojos,Tacones Rojos,Sebastian Yatra,2021-10-22,USUM72119612,940,49.6,641756842.0,80542.0,23090494.0,68.0,558812868.0,2887216.0,328394.0,77295943.0,855230861.0,387792262.0,78.0,438.0,875.0,40.0,686168.0,85.0,9553399.0,8482.0,723371.0,2934783.0,False,6ylDpki1VpIsc525KC1ojF
Ride the Vibe,Ride the Vibe,NEXZ,2024-05-20,US5TA2400118,942,49.6,899456.0,147.0,2784044.0,46.0,31419384.0,139393.0,,,,127867.0,2.0,31.0,,1.0,5401.0,8.0,1012.0,2.0,,8204.0,False,2bmo0oEVhlbAgMQetHgLYC
family ties,family ties - Single,Baby Keem,2021-08-27,USSM12105949,945,49.5,786298066.0,204148.0,57623622.0,77.0,63403993.0,557514.0,55168.0,80647899.0,532021210.0,764790.0,62.0,21505.0,354.0,20.0,174320.0,38.0,6412824.0,10269.0,,1938598.0,True,3QFInJAm9eyaho5vBzxInN
"Perdonarte, Para Q","Perdonarte, Para Q",Los ngeles Az,2024-05-23,MX1722401778,943,49.5,19514243.0,1329.0,42180412.0,75.0,17545232.0,195611.0,,,,16582955.0,16.0,1344.0,,16.0,378750.0,10.0,181212.0,14.0,,48790.0,False,4dLLdfiniBhDP9dlJQIOi4
Whatever It Takes,Whatever It Takes,Imagine Dragons,2017-05-09,USUM71703515,944,49.5,1257258072.0,156442.0,33271283.0,76.0,1192880501.0,7815307.0,202700.0,27054065.0,340416328.0,158079968.0,86.0,148594.0,260.0,37.0,367136.0,9.0,359252086.0,209287.0,,12160416.0,False,6Qn5zhYkTa37e91HC1D7lb
POP!,IM NAYEON,NAYEON,2022-06-24,US5TA2200041,946,49.4,296828933.0,25748.0,12535016.0,69.0,407776018.0,8669558.0,1937239.0,548973446.0,5178604164.0,240970840.0,18.0,3491.0,83.0,3.0,17624.0,26.0,1106839.0,2484.0,,445036.0,False,3lOMJTQTd6J34faYwASc33
Into the Unknown,New Horizons,ALPHA 9,2023-01-13,GBEWA2206731,948,49.4,78985.0,67.0,5674.0,9.0,621561070.0,3598710.0,,,,45996393.0,,15.0,,,,,13012.0,,6099.0,,False,6vMtFgezNzUDIoxMcRBm2M
Lonely At The Top,Work Of Art,Asake,2023-06-15,USUYG1490059,947,49.4,84655991.0,13107.0,7678884.0,69.0,75076449.0,510479.0,1513241.0,16795588.0,382487197.0,72422815.0,36.0,11861.0,89.0,6.0,164069.0,26.0,779288.0,650.0,1367844.0,2361169.0,False,5ZtK8XAVnoaGdBXZWCEVCY
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,2023-06-06,QZK6F2330686,949,49.3,242661037.0,43999.0,9893510.0,74.0,51722759.0,783780.0,499500.0,69556599.0,646143014.0,460974.0,5.0,,948.0,1.0,9696.0,1.0,496607.0,1659.0,,2552266.0,True,1JgknGBbrfmEHeOZH051SS
Si Se Da,Si Se Da,Myke Towers,2019-02-26,QM4TX1920224,952,49.3,317223968.0,47247.0,7578697.0,54.0,1867482161.0,5147665.0,15153.0,1209967.0,14034398.0,133593097.0,21.0,5622.0,9.0,6.0,74161.0,38.0,79260855.0,11001.0,,1796737.0,True,4jMwPJMtMF977ciTvD5fwg
Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,USUM72017013,950,49.3,787546548.0,110389.0,44478175.0,63.0,396861382.0,6241346.0,193594.0,69149295.0,561056269.0,1394478465.0,178.0,399515.0,339.0,51.0,257512.0,54.0,85450020.0,45037.0,,3589419.0,False,6Xgq7MvZiet0hVi3KaDSgJ
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,USQX91402598,955,49.3,2235160830.0,403355.0,73668045.0,81.0,656310159.0,4852226.0,744556.0,138864977.0,885273359.0,184893947.0,115.0,11860.0,61.0,41.0,370317.0,21.0,657042048.0,203470.0,,5513979.0,True,68Dni7IE4VyPkTOH9mRWHr
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,GBAHS1700199,954,49.3,1456894713.0,141677.0,49274720.0,71.0,1523128022.0,9966382.0,707674.0,33256295.0,386013926.0,1419194972.0,173.0,84752.0,17.0,82.0,706468.0,41.0,76856978.0,79418.0,18687841.0,9434537.0,False,72gv4zhNvRVdQA0eOenCal
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,USUM72004304,951,49.3,1060378159.0,104647.0,55948663.0,68.0,514581598.0,6465409.0,442243.0,80912710.0,538854965.0,382160207.0,320.0,354978.0,438.0,143.0,2320730.0,105.0,62220803.0,71438.0,,3888061.0,False,7ju97lgwC2rKQ6wwsf9no9
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,2023-07-27,GBUM72306881,953,49.3,118804209.0,57036.0,35240391.0,71.0,16072797.0,207183.0,,,,125042.0,29.0,6016.0,,14.0,2609137.0,34.0,154435.0,495.0,6256341.0,908754.0,False,2ZWmmrWUgDBcPSLihBMvhg
10:35,10:35,Ti,2022-11-03,CYA112001130,958,49.2,539802784.0,82093.0,99413749.0,74.0,94379586.0,652780.0,11473.0,5762615.0,119710596.0,487764676.0,187.0,60512.0,265.0,80.0,1747753.0,64.0,43487605.0,7144.0,,2064142.0,False,6BePGk3eCan4FqaW2X8Qy3
One Right Now (with The Weeknd),One Right Now,Post Malone,2021-11-05,USUM72120404,963,49.2,631789333.0,99512.0,27179361.0,65.0,182180447.0,1908939.0,30141.0,12902227.0,181078488.0,954672882.0,89.0,255213.0,1005.0,25.0,858001.0,34.0,103350630.0,11558.0,,2041348.0,True,1nltpRhEiXikwDlVn4UADk
A Thousand Years,A Thousand Years,Christina Perri,2011-10-18,USAT21102141,964,49.2,1654956613.0,177834.0,80060384.0,77.0,2989286684.0,19870174.0,4479720.0,848530861.0,8594414469.0,1579447076.0,94.0,88803.0,66.0,66.0,114244.0,46.0,,,68.0,15974659.0,False,6lanRgr6wXibZr8KgzXxBl
Secreto,Secreto,Anuel AA,2019-01-15,USXDR1900020,957,49.2,759388276.0,68502.0,18835572.0,65.0,1595484197.0,8161642.0,609042.0,40357374.0,543804719.0,306014364.0,40.0,159.0,15.0,43.0,358784.0,21.0,147935567.0,36380.0,3064688.0,1317266.0,False,5W83ErFkO3aKAIS1WMi6u0
Toda Remix - Remix,Toda (Remix),Alex Rose,2018-06-01,QM4TX1838235,959,49.2,482021697.0,68578.0,13363939.0,66.0,1965829285.0,5786525.0,696400.0,34322459.0,289741256.0,30691906.0,25.0,2857.0,,5.0,41009.0,14.0,67068115.0,20616.0,,2148531.0,True,47ZS1OjnJpJVfGN9yHXfMn
I Hate U,I Hate U - Single,SZA,2021-12-03,USRC12103605,956,49.2,456871037.0,71261.0,34724014.0,66.0,142820854.0,1393679.0,877769.0,211488170.0,1676387442.0,85726782.0,105.0,136784.0,1324.0,29.0,699151.0,19.0,92133806.0,29242.0,15212609.0,1854776.0,True,2aJnyNu4PQxQ2lyj5boiMG
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,USUM71805170,962,49.2,1953403531.0,239092.0,47844195.0,74.0,48443287.0,734538.0,104133.0,9802093.0,97061584.0,,144.0,350458.0,203.0,59.0,582382.0,79.0,467402120.0,251025.0,,8827325.0,True,7dt6x5M1jzdTEt8oCbisTK
Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,CAB391100615,960,49.2,1394048309.0,211162.0,114187117.0,77.0,2007334200.0,12223928.0,418014.0,40431475.0,367016981.0,1811023591.0,222.0,200327.0,967.0,145.0,1939414.0,88.0,401427022.0,1189600.0,,14252942.0,False,20I6sIOMTCkB6w7ryavxtO
Pobre Coraz,Pobre Corazn (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,2023-03-02,QZN882353309,965,49.2,187127704.0,18938.0,5235073.0,65.0,425484500.0,857540.0,8176.0,2607049.0,30085568.0,188119455.0,8.0,5686.0,,5.0,349806.0,7.0,,,,432240.0,False,1AX4aybSRyXHWrjg27wTFE
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2019-02-01,DEUM71807719,966,49.2,995452298.0,188608.0,44047615.0,65.0,464369299.0,4586152.0,742947.0,75493341.0,1282810923.0,34091844.0,255.0,171176.0,196.0,166.0,2039570.0,43.0,46973428.0,14833.0,26135531.0,14464887.0,False,1DFD5Fotzgn6yYXkYsKiGs
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,2023-05-22,INH102307782,961,49.2,203379355.0,14067.0,8370027.0,63.0,361600873.0,2581315.0,,,,110775514.0,16.0,1319.0,,,,12.0,,,,376272.0,False,75DRLUnnltzSyuTJ7onxmW
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,2023-10-11,QZTB72322595,967,49.1,140356426.0,9363.0,5604254.0,,87822276.0,963707.0,849600.0,119963984.0,1057039331.0,261296658.0,4.0,4.0,,6.0,5463321.0,,131941.0,873.0,,961258.0,False,1UL2Sn9KX8StSDOp8ZEAOC
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,2021-04-20,USB272100106,968,49.1,257167813.0,38896.0,13810240.0,55.0,794011391.0,4280865.0,1887815.0,202617114.0,2167134347.0,350033186.0,69.0,28737.0,176.0,20.0,116868.0,35.0,24761052.0,5667.0,,1621368.0,True,4DHDIdeayp8xvlyg22wREO
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,2023-10-03,UYB282301041,970,49.0,181516735.0,25092.0,10823656.0,,155509942.0,2922165.0,,,,53784475.0,7.0,1849.0,,9.0,401523.0,15.0,62580.0,76.0,,194645.0,False,1iLbUmb2b2btyAAcQ68a1p
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2024-02-01,KRA402400004,972,49.0,21167612.0,1285.0,2035557.0,,147951356.0,1755973.0,16500.0,8382900.0,70103300.0,80502081.0,5.0,284.0,,,,8.0,,,,47782.0,False,1Ad4anaX6hJyfZvVDkrKQg
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,2022-04-28,QZHN72212529,973,49.0,582023797.0,48881.0,17367502.0,70.0,293059162.0,1383526.0,1100596.0,64787440.0,805988782.0,40039.0,26.0,18750.0,222.0,6.0,53465.0,16.0,84722896.0,25730.0,192143.0,1946266.0,False,76kelNDs1ojicx1s6Urvck
Aesthetic,Aesthetic,Xilo,2020-02-14,QZFZ22071847,969,49.0,27312761.0,9048.0,2060708.0,38.0,3538161.0,118805.0,12562825.0,754488882.0,5979843010.0,86473112.0,6.0,,239.0,2.0,3328.0,,174203.0,2348.0,,26178.0,True,5nQfC1vjISMUlstveJG7Ge
get him back!,GUTS,Olivia Rodrigo,2023-09-08,USUG12304099,971,49.0,287724574.0,25460.0,15517447.0,,54771296.0,818500.0,485830.0,47532963.0,469327093.0,1298782751.0,47.0,56.0,34.0,29.0,1998239.0,43.0,6371213.0,20559.0,910103.0,770996.0,True,2gyxAWHebV7xPYVxqoi86f
LA PEOPLE II,LA PEOPLE II,Peso Pluma,2024-03-21,QM4TX2458976,978,48.9,123243341.0,5069.0,34480158.0,79.0,53762979.0,472820.0,,171600.0,3100000.0,,13.0,8.0,,4.0,1081795.0,14.0,2185039.0,1024.0,,121403.0,True,3YyTyWfSwAhesGCKpnuRKl
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,2024-04-12,GBCAD2000628,974,48.9,562814594.0,17.0,25810.0,,,,,,,,,,,1.0,530.0,,,,,,False,0Gh1CggHyA80QnLdZtgPgP
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401029,975,48.9,150693008.0,3273.0,15710281.0,,15389385.0,261652.0,,4822.0,39100.0,,29.0,450.0,,4.0,53098.0,52.0,3131451.0,12957.0,,49802.0,True,3NMrVbIVWT3fPXBj0rNDKG
Your Love (9PM),Your Love (9PM),ATB,2021-01-15,DECE72003523,976,48.9,721002104.0,146298.0,62920572.0,71.0,118729044.0,952700.0,25400.0,5772644.0,81735548.0,153714110.0,201.0,361427.0,220.0,115.0,2519598.0,27.0,24235804.0,2394.0,5026745.0,7799522.0,False,5YaskwnGDZFDRipaqzbwQx
One Side,One Side,Iyanya,2022-09-15,ZA41S2225757,977,48.9,23823099.0,10859.0,859682.0,53.0,75987807.0,365743.0,4024066.0,59428340.0,1004679876.0,42569293.0,3.0,2518.0,,,,,,,,,False,48BBynvMm4jmI7hZ9hgPtU
HEAT STICK,HEAT STICK,Shoreline Mafia,2024-05-10,USAT22402903,979,48.8,20538101.0,3675.0,33607850.0,74.0,3575151.0,101311.0,,20600.0,108700.0,381728.0,23.0,370.0,5.0,5.0,38916.0,7.0,1637484.0,359.0,1415426.0,75399.0,True,0HGItm7Ox9AnHZbx26nkE4
Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01,GBAHS1400094,980,48.8,2525355904.0,208671.0,121163411.0,77.0,1884843329.0,9916244.0,1459274.0,502385405.0,4406781129.0,1706776803.0,249.0,89818.0,80.0,234.0,603824.0,54.0,450907868.0,190210.0,35594470.0,17163765.0,False,1HNkqx9Ahdgi1Ixy2xkKkL
Virginia Beach,For All The Dogs,Drake,2023-10-06,USUG12306066,981,48.8,165204421.0,38562.0,6636362.0,,16599214.0,126612.0,,,,35874.0,5.0,1751.0,,2.0,1924.0,8.0,5063703.0,5731.0,6243171.0,349915.0,True,3eP13S8D5m2cweMEg3ZDed
Great Gatsby,Nostalgia,Rod Wave,2023-09-15,USQX92305201,982,48.7,66813186.0,11024.0,4487030.0,,75881981.0,409473.0,4842.0,4543062.0,34091093.0,359281223.0,11.0,1245.0,29.0,3.0,21417.0,16.0,18521097.0,26354.0,13491731.0,395093.0,True,4M68xjcc42oxyphhzpOWXS
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofa R,2018-02-16,USWL11700238,983,48.7,667508675.0,78737.0,29292148.0,61.0,1001147152.0,7847053.0,7162351.0,628778954.0,8778203835.0,433920815.0,97.0,36727.0,152.0,63.0,323404.0,41.0,12798124.0,11917.0,,8994016.0,False,4QtiVmuA88tPQiCOHZuQ5b
Atee D,Atee D,Mert Demir,2023-09-22,USA2P2346453,984,48.7,98395711.0,14727.0,3591657.0,,198114786.0,880794.0,,3300292.0,84398578.0,107323281.0,10.0,11952.0,,2.0,1567756.0,,,,,1134279.0,False,3auN910HHNYykQo8i9q5J1
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,USUG12202266,986,48.6,1020452066.0,108274.0,75934462.0,79.0,114404861.0,1372385.0,228100.0,129184868.0,1013000586.0,995903.0,45.0,74239.0,,27.0,250765.0,5.0,1435373.0,6073.0,3198903.0,,False,1Y3LN4zO1Edc2EluIoSPJN
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,USUG12101042,985,48.6,793287638.0,225513.0,37094631.0,71.0,104966782.0,872923.0,36542.0,45722496.0,319496635.0,783169.0,130.0,18714.0,82.0,21.0,693216.0,18.0,57284328.0,23173.0,,2221501.0,True,65OVbaJR5O1RmwOQx0875b
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,2023-05-18,FRX452328816,987,48.4,229120157.0,11931.0,7972917.0,69.0,136914720.0,1023397.0,1589944.0,378055132.0,5604886674.0,45212529.0,6.0,3334.0,,,,,,,,154129.0,False,0sV01d2keik5bwCuW9EQpk
Coco Chanel,3MEN2 KBRN,Eladio Carrion,2023-03-17,QM4TX2344391,988,48.4,459282058.0,67717.0,32043186.0,72.0,100210832.0,673502.0,49000.0,17997404.0,147682062.0,1805292.0,46.0,24347.0,102.0,13.0,242670.0,17.0,9497644.0,3142.0,,742228.0,True,0PB0O24JqAuNdOAFVJljMS
Calm Down Baby,Calm Down Baby - Single,DJ Laxman,2024-01-12,FR10S2458617,989,48.4,1389772733.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,False,
At My Worst,The Prelude,Pink Sweat$,2020-07-17,USAT22003823,991,48.3,670245273.0,83819.0,24550707.0,64.0,537033479.0,4862491.0,3893052.0,155783189.0,1736930175.0,10765679.0,58.0,32924.0,388.0,17.0,104909.0,8.0,1187501.0,3010.0,,2977114.0,False,00yCFRFQLu3OAhGahgVimh
TOO MUCH,TOO MUCH,The Kid LAROI,2023-10-19,USSM12307154,990,48.3,137894955.0,20037.0,20683852.0,,45533851.0,1730466.0,4402.0,2179277.0,13108162.0,1665204683.0,37.0,99290.0,31.0,37.0,404042.0,39.0,2640092.0,369.0,1157460.0,601987.0,True,0rKWJnmo6Q0ovoPOLoLm0t
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,2021-04-30,USVPR2100046,993,48.2,218431985.0,56998.0,7122424.0,61.0,336505073.0,3901948.0,3595260.0,338445934.0,4731467896.0,11491467.0,24.0,20192.0,98.0,10.0,193061.0,14.0,12362903.0,6285.0,2388111.0,6024636.0,False,58dGRQrNmAJeRMFuguUbvD
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,2023-06-07,TCJPV2340543,1103,48.2,1611084670.0,,,,,,,,,,,,,,,,,,,,True,3W3ICCCvJiHJ1GNMS62Ij8
Miles On It,Miles on It,Marshmello,2024-05-03,QZZVQ2400059,992,48.2,41924126.0,3794.0,124369916.0,79.0,4219901.0,103922.0,,,,237146592.0,87.0,4032.0,33.0,51.0,8224597.0,91.0,9227545.0,2729.0,239024.0,189286.0,False,4pkb8SbRGeHAvdb87v9rpf
El Caballito,El Caballito - Single,FARIANA,2024-06-07,QM6N22408548,994,48.2,184278.0,74.0,5010610.0,42.0,,,63000.0,14587439.0,205181975.0,,4.0,8.0,,,,12.0,387.0,,,2840.0,True,4VnxD9V3h0R6aCYjSrDYqJ
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,2024-05-31,GBCEN2400112,995,48.1,2284977.0,1425.0,11819359.0,22.0,186215.0,4951.0,,,,,13.0,243.0,,16.0,206878.0,24.0,,,1035215.0,44984.0,True,6o0gJtOgimGamRBTS80H5g
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,USUM72217666,996,48.1,157806193.0,27840.0,14490602.0,64.0,216925153.0,1357039.0,264839.0,77376260.0,507673872.0,175345907.0,41.0,221878.0,172.0,6.0,22426.0,60.0,54650583.0,33003.0,,1089768.0,True,0WNfQxDGaPTl0yogcMR5v1
Se Prepar,Se Prepar,Ozuna,2017-08-10,USXDR1700552,997,48.1,846909112.0,81897.0,37257314.0,73.0,2003507626.0,8554387.0,357129.0,31889859.0,259122341.0,265630619.0,50.0,11560.0,115.0,18.0,197244.0,32.0,202338087.0,58208.0,,2526044.0,False,1m69ELEgE6k5ZWsap40ozt
Lost on You,Lost On You,LP,2016-03-24,QMRSZ1501406,998,48.1,837042727.0,127522.0,22902207.0,70.0,2265062550.0,13313083.0,87300.0,31874280.0,239446479.0,220914117.0,80.0,80796.0,,105.0,511599.0,13.0,4454935.0,23901.0,,16431621.0,False,2NttzQ2kuVFFmEa8q4rsbu
Le,Leo - Si,Marlia Mendo,2022-12-08,BRWNV2200185,999,48.0,415752953.0,20588.0,32327663.0,66.0,423072409.0,2136310.0,318300.0,58453253.0,754580262.0,1139343976.0,26.0,8809.0,,55.0,7373693.0,13.0,14151.0,29.0,,280389.0,False,2K9kZpwD2CzTa6iiSYYOoO
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023-07-12,INH102309955,1005,47.9,159909273.0,7624.0,11285253.0,64.0,329088407.0,1435514.0,,,,92792948.0,12.0,1145.0,,1.0,1097.0,21.0,,,,109794.0,False,4ebGjbay0OmsBNUwo0M6u6
Lean Wit Me,Lean Wit Me,Juice WRLD,2018-05-22,USUG11800945,1001,47.9,880781313.0,137341.0,29154307.0,72.0,432457883.0,3689786.0,28508.0,3880481.0,33981823.0,5946423.0,21.0,835.0,113.0,10.0,71637.0,2.0,59762272.0,55696.0,120023575.0,934193.0,True,3oDkdAySo1VQQG0ptV7uwa
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,2022-05-20,USUG12202512,1002,47.9,399707517.0,131547.0,25873871.0,69.0,44839108.0,449678.0,1332.0,101238.0,1130861.0,2803361.0,66.0,36742.0,836.0,12.0,1000634.0,36.0,81514413.0,12561.0,,2145146.0,True,4vVjPTApwXZwB2H3mBq3ml
"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"") - Single",Diljit Dosanjh,2024-03-20,INT102400983,1006,47.9,16264473.0,552.0,6584623.0,,93523633.0,390514.0,,,,,1.0,487.0,,,,11.0,,,,35056.0,False,1ErMeReQpwGuroEk5zekr3
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,2023-03-24,FR96X2351551,1004,47.9,408449.0,38.0,1747.0,12.0,524571173.0,1510602.0,23.0,20.0,385.0,,,25.0,,,,,,,,75.0,False,36oMtRMKAMMJcXgU6Aurg7
LEATHER,LEATHER,MAKAELA,2023-01-27,QZJG52355895,1000,47.9,1696.0,,,,604258394.0,1611760.0,,,,,,6.0,,,,,,,,,True,4F0mczrE0zirUF2Q3BC0Qv
